combination,nl_synergy,combination_index,nl_synergy_pvalue,cbca_improvement,same_family,dual_positive,selected_for_dose_response
hsa-miR-10a-5p + hsa-miR-10b-5p,0.009,0.882,0.628,-0.315,TRUE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-20b-5p,0.025,0.885,0.600,-0.058,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-204-5p,0.022,0.885,0.751,0.104,FALSE,FALSE,FALSE
hsa-miR-363-3p + hsa-miR-450b-3p,0.067,0.885,0.549,0.108,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-2110,0.017,0.885,0.705,0.191,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-429,0.028,0.887,0.593,0.120,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-19a-3p,0.021,0.887,0.772,-0.208,FALSE,FALSE,FALSE
hsa-miR-3937 + hsa-miR-506-3p,0.137,0.891,0.580,0.203,FALSE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-92a-3p,0.013,0.895,0.705,0.032,FALSE,FALSE,FALSE
hsa-miR-204-5p + hsa-miR-34b-5p,0.063,0.896,0.632,0.161,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-27b-3p,0.092,0.897,0.473,0.176,FALSE,FALSE,FALSE
hsa-miR-204-5p + hsa-miR-449a,0.036,0.900,0.606,0.088,FALSE,FALSE,FALSE
hsa-miR-27b-3p + hsa-miR-3714,0.062,0.900,0.807,0.177,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-34a-5p,0.041,0.903,0.624,-0.053,FALSE,FALSE,FALSE
hsa-miR-200a-3p + hsa-miR-93-5p,0.020,0.904,0.571,-0.184,FALSE,FALSE,FALSE
hsa-miR-34b-5p + hsa-miR-3937,0.080,0.905,0.366,0.180,FALSE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-211-5p,0.011,0.906,0.623,0.126,FALSE,FALSE,FALSE
hsa-miR-20a-5p + hsa-miR-27a-3p,0.011,0.907,0.394,-0.355,FALSE,FALSE,FALSE
hsa-miR-200c-3p + hsa-miR-27a-3p,0.026,0.907,0.356,0.030,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-93-5p,0.012,0.908,0.741,-0.350,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-106b-5p,0.010,0.912,0.759,-0.394,TRUE,FALSE,FALSE
hsa-miR-200a-3p + hsa-miR-449b-5p,0.018,0.912,0.788,0.155,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-34b-5p,0.051,0.914,0.663,0.166,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-196a-5p,0.074,0.915,0.644,0.191,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-449a,0.029,0.916,0.687,0.163,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-34b-5p,0.049,0.917,0.776,0.154,FALSE,FALSE,FALSE
hsa-miR-107 + hsa-miR-196a-5p,0.034,0.918,0.857,0.103,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-137,0.071,0.918,0.866,0.156,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-873-5p,0.008,0.919,0.691,-0.056,FALSE,FALSE,FALSE
hsa-miR-449a + hsa-miR-506-3p,0.099,0.919,0.771,0.184,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-143-5p,0.007,0.920,0.817,-0.317,FALSE,FALSE,FALSE
hsa-miR-27a-3p + hsa-miR-429,0.019,0.920,0.562,-0.026,FALSE,FALSE,FALSE
hsa-miR-211-5p + hsa-miR-93-5p,0.010,0.925,0.629,-0.230,FALSE,FALSE,FALSE
hsa-miR-17-5p + hsa-miR-211-5p,0.008,0.926,0.492,-0.190,FALSE,FALSE,FALSE
hsa-miR-17-5p + hsa-miR-449a,0.025,0.929,0.628,0.074,FALSE,FALSE,FALSE
hsa-miR-450b-3p + hsa-miR-873-5p,0.039,0.930,0.671,0.140,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-34b-5p,0.040,0.931,0.762,0.186,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-143-5p,0.007,0.932,0.835,-0.446,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-429,0.016,0.932,0.795,-0.189,FALSE,FALSE,FALSE
hsa-miR-107 + hsa-miR-18a-5p,0.027,0.933,0.898,0.100,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-34a-5p,0.027,0.935,0.731,0.069,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-200c-3p,0.017,0.935,0.407,0.013,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-200c-3p,0.017,0.938,0.570,0.077,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-449a,0.053,0.938,0.701,0.191,FALSE,FALSE,FALSE
hsa-miR-27a-3p + hsa-miR-363-3p,0.010,0.938,0.800,-0.150,FALSE,FALSE,FALSE
hsa-miR-200c-3p + hsa-miR-204-5p,0.016,0.939,0.728,0.022,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-34a-5p,0.022,0.945,0.842,0.092,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-506-3p,0.060,0.949,0.809,0.032,FALSE,FALSE,FALSE
hsa-miR-200a-3p + hsa-miR-211-5p,0.010,0.949,0.752,-0.129,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-93-5p,0.006,0.952,0.912,-0.363,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-340-5p,0.009,0.952,0.826,-0.265,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-20a-5p,0.037,0.956,0.775,-0.255,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-449a,0.014,0.957,0.807,0.132,FALSE,FALSE,FALSE
hsa-miR-2110 + hsa-miR-25-3p,0.013,0.957,0.880,0.167,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-10b-5p,0.004,0.958,0.839,-0.344,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-200c-3p,0.014,0.959,0.767,0.008,FALSE,FALSE,FALSE
hsa-miR-2110 + hsa-miR-34b-5p,0.023,0.959,0.853,0.188,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-20a-5p,0.004,0.962,0.900,-0.381,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-200b-3p,0.013,0.962,0.760,0.027,FALSE,FALSE,FALSE
hsa-miR-107 + hsa-miR-17-5p,0.014,0.964,0.940,0.125,FALSE,FALSE,FALSE
hsa-miR-204-5p + hsa-miR-20a-5p,0.003,0.965,0.904,-0.402,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-93-5p,0.012,0.966,0.798,-0.021,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-200b-3p,0.009,0.970,0.809,0.042,FALSE,FALSE,FALSE
hsa-miR-27a-3p + hsa-miR-27b-3p,0.004,0.970,0.901,-0.277,TRUE,FALSE,FALSE
hsa-miR-200a-3p + hsa-miR-429,0.006,0.972,0.851,-0.060,FALSE,FALSE,FALSE
hsa-miR-20a-5p + hsa-miR-340-5p,0.005,0.972,0.860,-0.255,FALSE,FALSE,FALSE
hsa-miR-211-5p + hsa-miR-506-3p,0.032,0.972,0.918,0.166,FALSE,FALSE,FALSE
hsa-miR-137 + hsa-miR-3714,0.015,0.974,0.944,0.164,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-135b-5p,0.004,0.975,0.952,-0.105,FALSE,FALSE,FALSE
hsa-miR-18a-5p + hsa-miR-429,0.008,0.978,0.926,-0.038,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-17-5p,0.002,0.979,0.892,-0.457,TRUE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-27b-3p,0.003,0.980,0.969,-0.162,FALSE,FALSE,FALSE
hsa-miR-27b-3p + hsa-miR-34a-5p,0.008,0.980,0.926,-0.010,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-200c-3p,0.006,0.981,0.899,0.030,FALSE,FALSE,FALSE
hsa-miR-2110 + hsa-miR-27a-3p,0.002,0.981,0.945,0.200,FALSE,FALSE,FALSE
hsa-miR-449a + hsa-miR-92a-3p,0.006,0.982,0.902,-0.090,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-450b-3p,0.010,0.982,0.882,0.149,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-34b-5p,0.009,0.983,0.935,0.182,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-211-5p,0.002,0.983,0.910,-0.106,FALSE,FALSE,FALSE
hsa-miR-18a-5p + hsa-miR-196a-5p,0.006,0.983,0.896,-0.102,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-27a-3p,0.002,0.984,0.912,-0.383,FALSE,FALSE,FALSE
hsa-miR-107 + hsa-miR-124-3p,0.013,0.984,0.926,0.188,FALSE,FALSE,FALSE
hsa-miR-27b-3p + hsa-miR-450b-3p,0.008,0.984,0.952,0.098,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-25-3p,0.004,0.985,0.914,-0.025,FALSE,FALSE,FALSE
hsa-miR-19a-3p + hsa-miR-20a-5p,0.001,0.986,0.977,-0.427,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-18a-5p,0.004,0.990,0.942,0.070,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-17-5p,0.001,0.991,0.972,-0.354,FALSE,FALSE,FALSE
hsa-miR-200b-3p + hsa-miR-450b-3p,0.004,0.992,0.954,-0.020,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-17-5p,0.001,0.992,0.981,-0.461,TRUE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-452-5p,0.001,0.993,0.983,-0.067,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-200a-3p,0.001,0.993,0.982,0.083,FALSE,FALSE,FALSE
hsa-miR-34b-5p + hsa-miR-506-3p,0.007,0.994,0.978,0.196,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-3714,0.004,0.994,0.987,0.024,FALSE,FALSE,FALSE
hsa-miR-363-3p + hsa-miR-449b-5p,0.001,0.995,0.989,0.169,FALSE,FALSE,FALSE
hsa-miR-196a-5p + hsa-miR-34b-5p,0.002,0.996,0.988,0.174,FALSE,FALSE,FALSE
hsa-miR-20b-5p + hsa-miR-93-5p,0.001,0.996,0.990,-0.275,TRUE,FALSE,FALSE
hsa-miR-20a-5p + hsa-miR-34b-5p,0.002,0.996,0.987,0.132,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-340-5p,0.000,0.999,0.996,-0.055,FALSE,FALSE,FALSE
hsa-miR-19a-3p + hsa-miR-429,0.000,0.999,0.998,-0.144,FALSE,FALSE,FALSE
hsa-miR-34b-5p + hsa-miR-93-5p,0.000,1.001,0.997,0.157,FALSE,FALSE,FALSE
hsa-miR-34b-5p + hsa-miR-449a,-0.001,1.001,0.996,0.163,FALSE,FALSE,FALSE
hsa-miR-2110 + hsa-miR-340-5p,0.000,1.001,0.993,0.187,FALSE,FALSE,FALSE
hsa-miR-340-5p + hsa-miR-3937,-0.002,1.003,0.982,0.101,FALSE,FALSE,FALSE
hsa-miR-196a-5p + hsa-miR-449a,-0.001,1.004,0.988,0.101,FALSE,FALSE,FALSE
hsa-miR-107 + hsa-miR-340-5p,-0.002,1.005,0.992,0.128,FALSE,FALSE,FALSE
hsa-miR-27b-3p + hsa-miR-340-5p,-0.001,1.007,0.959,0.092,FALSE,FALSE,FALSE
hsa-miR-17-5p + hsa-miR-19b-3p,-0.001,1.008,0.988,-0.442,FALSE,FALSE,FALSE
hsa-miR-19a-3p + hsa-miR-200c-3p,-0.002,1.009,0.949,-0.035,FALSE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-27a-3p,-0.001,1.009,0.971,0.173,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-200a-3p,-0.002,1.009,0.966,-0.277,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-200a-3p,-0.002,1.010,0.952,-0.235,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-3714,-0.007,1.013,0.984,0.182,FALSE,FALSE,FALSE
hsa-miR-137 + hsa-miR-18a-5p,-0.006,1.018,0.947,0.109,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-211-5p,-0.003,1.019,0.966,0.043,FALSE,FALSE,FALSE
hsa-miR-27a-3p + hsa-miR-34a-5p,-0.007,1.019,0.929,0.092,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-340-5p,-0.007,1.021,0.946,0.055,FALSE,FALSE,FALSE
hsa-miR-18a-5p + hsa-miR-34a-5p,-0.008,1.022,0.922,0.065,FALSE,FALSE,FALSE
hsa-miR-34a-5p + hsa-miR-363-3p,-0.008,1.023,0.914,-0.059,FALSE,FALSE,FALSE
hsa-miR-19b-3p + hsa-miR-20a-5p,-0.002,1.025,0.969,-0.409,FALSE,FALSE,FALSE
hsa-miR-506-3p + hsa-miR-93-5p,-0.028,1.025,0.908,0.161,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-450b-3p,-0.013,1.026,0.785,0.085,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-19b-3p,-0.002,1.026,0.950,-0.361,FALSE,FALSE,FALSE
hsa-miR-17-5p + hsa-miR-200a-3p,-0.005,1.027,0.879,-0.212,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-506-3p,-0.029,1.027,0.926,-0.139,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-429,-0.006,1.028,0.865,-0.385,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-17-5p,-0.004,1.032,0.946,-0.206,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-452-5p,-0.003,1.033,0.925,-0.203,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-92a-3p,-0.003,1.034,0.898,-0.127,FALSE,FALSE,FALSE
hsa-miR-200c-3p + hsa-miR-429,-0.008,1.034,0.890,0.079,TRUE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-204-5p,-0.002,1.036,0.899,-0.401,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-429,-0.008,1.039,0.832,0.003,FALSE,FALSE,FALSE
hsa-miR-27b-3p + hsa-miR-93-5p,-0.005,1.039,0.761,-0.263,FALSE,FALSE,FALSE
hsa-miR-17-5p + hsa-miR-204-5p,-0.003,1.041,0.594,-0.417,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-363-3p,-0.007,1.042,0.950,0.083,FALSE,FALSE,FALSE
hsa-miR-200a-3p + hsa-miR-506-3p,-0.045,1.042,0.848,0.143,FALSE,FALSE,FALSE
hsa-miR-204-5p + hsa-miR-452-5p,-0.003,1.043,0.920,-0.290,FALSE,FALSE,FALSE
hsa-miR-506-3p + hsa-miR-873-5p,-0.047,1.044,0.867,0.189,FALSE,FALSE,FALSE
hsa-miR-200c-3p + hsa-miR-363-3p,-0.011,1.045,0.838,0.062,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-3937,-0.033,1.045,0.730,0.089,FALSE,FALSE,FALSE
hsa-miR-211-5p + hsa-miR-450b-3p,-0.023,1.046,0.650,0.089,FALSE,FALSE,FALSE
hsa-miR-17-5p + hsa-miR-18b-5p,-0.015,1.047,0.752,-0.063,FALSE,FALSE,FALSE
hsa-miR-196a-5p + hsa-miR-2110,-0.010,1.048,0.867,0.179,FALSE,FALSE,FALSE
hsa-miR-19b-3p + hsa-miR-452-5p,-0.004,1.048,0.912,-0.029,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-20b-5p,-0.009,1.049,0.886,-0.330,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-200b-3p,-0.013,1.050,0.482,0.079,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-143-5p,-0.006,1.050,0.919,-0.241,FALSE,FALSE,FALSE
hsa-miR-363-3p + hsa-miR-506-3p,-0.054,1.050,0.822,0.139,FALSE,FALSE,FALSE
hsa-miR-204-5p + hsa-miR-429,-0.011,1.052,0.744,-0.085,FALSE,FALSE,FALSE
hsa-miR-2110 + hsa-miR-363-3p,-0.008,1.053,0.861,0.138,FALSE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-19b-3p,-0.006,1.056,0.832,-0.071,FALSE,FALSE,FALSE
hsa-miR-18a-5p + hsa-miR-200c-3p,-0.020,1.057,0.794,0.037,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-211-5p,-0.005,1.058,0.606,-0.337,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-19a-3p,-0.046,1.061,0.710,-0.213,FALSE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-20a-5p,-0.007,1.063,0.782,0.057,FALSE,FALSE,FALSE
hsa-miR-196a-5p + hsa-miR-34a-5p,-0.023,1.064,0.841,0.050,FALSE,FALSE,FALSE
hsa-miR-19b-3p + hsa-miR-200c-3p,-0.015,1.064,0.484,-0.005,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-200c-3p,-0.015,1.065,0.671,-0.064,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-34b-5p,-0.033,1.066,0.802,0.174,FALSE,FALSE,FALSE
hsa-miR-19a-3p + hsa-miR-27a-3p,-0.007,1.068,0.785,-0.344,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-450b-3p,-0.034,1.071,0.761,0.118,FALSE,FALSE,FALSE
hsa-miR-20a-5p + hsa-miR-93-5p,-0.008,1.072,0.633,-0.407,TRUE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-2110,-0.023,1.074,0.788,0.166,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-34a-5p,-0.026,1.074,0.770,0.085,FALSE,FALSE,FALSE
hsa-miR-340-5p + hsa-miR-450b-3p,-0.036,1.075,0.675,0.137,FALSE,FALSE,FALSE
hsa-miR-18a-5p + hsa-miR-20b-5p,-0.026,1.076,0.735,-0.061,FALSE,FALSE,FALSE
hsa-miR-429 + hsa-miR-873-5p,-0.016,1.076,0.663,-0.003,FALSE,FALSE,FALSE
hsa-miR-107 + hsa-miR-450b-3p,-0.037,1.077,0.506,0.104,FALSE,FALSE,FALSE
hsa-miR-200c-3p + hsa-miR-340-5p,-0.018,1.077,0.672,0.066,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-449a,-0.024,1.080,0.716,0.070,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-506-3p,-0.083,1.080,0.748,0.189,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-3714,-0.042,1.081,0.852,0.079,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-27a-3p,-0.025,1.081,0.730,-0.098,FALSE,FALSE,FALSE
hsa-miR-20b-5p + hsa-miR-34b-5p,-0.041,1.082,0.744,0.155,FALSE,FALSE,FALSE
hsa-miR-200b-3p + hsa-miR-27a-3p,-0.021,1.083,0.284,0.029,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-200b-3p,-0.021,1.083,0.508,-0.233,FALSE,FALSE,FALSE
hsa-miR-34a-5p + hsa-miR-450b-3p,-0.040,1.083,0.583,0.158,FALSE,FALSE,FALSE
hsa-miR-34b-5p + hsa-miR-449b-5p,-0.042,1.084,0.715,0.180,FALSE,FALSE,FALSE
hsa-miR-17-5p + hsa-miR-200c-3p,-0.020,1.086,0.650,0.023,FALSE,FALSE,FALSE
hsa-miR-200a-3p + hsa-miR-200c-3p,-0.020,1.086,0.552,0.076,FALSE,FALSE,FALSE
hsa-miR-3714 + hsa-miR-506-3p,-0.090,1.088,0.730,0.188,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-200a-3p,-0.016,1.092,0.582,-0.151,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-452-5p,-0.008,1.093,0.553,-0.215,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-18b-5p,-0.029,1.095,0.607,-0.010,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-3937,-0.068,1.098,0.549,0.087,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-124-3p,-0.072,1.100,0.743,0.193,FALSE,FALSE,FALSE
hsa-miR-18a-5p + hsa-miR-34b-5p,-0.050,1.101,0.704,0.162,FALSE,FALSE,FALSE
hsa-miR-200c-3p + hsa-miR-450b-3p,-0.048,1.101,0.480,0.080,FALSE,FALSE,FALSE
hsa-miR-18a-5p + hsa-miR-18b-5p,-0.034,1.101,0.525,0.029,TRUE,FALSE,FALSE
hsa-miR-200a-3p + hsa-miR-34a-5p,-0.036,1.104,0.761,0.078,FALSE,FALSE,FALSE
