combination,nl_synergy,combination_index,nl_synergy_pvalue,cbca_improvement,same_family,dual_positive,selected_for_dose_response
hsa-miR-135b-5p + hsa-miR-449b-5p,-0.078,1.885,0.314,0.202,FALSE,FALSE,FALSE
hsa-miR-107 + hsa-miR-3937,-0.359,1.889,0.066,0.160,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-128-3p,-0.141,1.891,0.040,-0.224,FALSE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-200b-3p,-0.131,1.893,0.007,0.167,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-340-5p,-0.082,1.895,0.029,0.176,FALSE,FALSE,FALSE
hsa-miR-200b-3p + hsa-miR-92a-3p,-0.131,1.896,0.003,-0.127,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-20b-5p,-0.093,1.904,0.110,-0.332,FALSE,FALSE,FALSE
hsa-miR-25-3p + hsa-miR-27b-3p,-0.141,1.907,0.005,-0.113,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-200a-3p,-0.158,1.910,0.032,-0.154,FALSE,FALSE,FALSE
hsa-miR-2110 + hsa-miR-3714,-0.270,1.928,0.277,0.202,FALSE,FALSE,FALSE
hsa-miR-18a-5p + hsa-miR-211-5p,-0.177,1.934,0.030,-0.164,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-452-5p,-0.081,1.938,0.302,-0.149,FALSE,FALSE,FALSE
hsa-miR-25-3p + hsa-miR-449b-5p,-0.143,1.938,0.055,0.156,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-200b-3p,-0.135,1.947,0.003,0.171,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-449b-5p,-0.388,1.951,0.048,0.202,FALSE,FALSE,FALSE
hsa-miR-340-5p + hsa-miR-92a-3p,-0.085,1.953,0.043,-0.191,FALSE,FALSE,FALSE
hsa-miR-200c-3p + hsa-miR-34a-5p,-0.186,1.953,0.090,0.120,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-20b-5p,-0.147,1.965,0.012,-0.258,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-196a-5p,-0.110,1.967,0.132,-0.149,FALSE,FALSE,FALSE
hsa-miR-17-5p + hsa-miR-363-3p,-0.075,1.971,0.088,-0.271,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-193b-3p,-0.082,1.977,0.295,0.187,FALSE,FALSE,FALSE
hsa-miR-429 + hsa-miR-452-5p,-0.110,1.993,0.039,-0.305,FALSE,FALSE,FALSE
hsa-miR-25-3p + hsa-miR-93-5p,-0.148,1.996,0.005,-0.129,FALSE,FALSE,FALSE
hsa-miR-449a + hsa-miR-452-5p,-0.161,1.999,0.058,-0.026,FALSE,FALSE,FALSE
hsa-miR-34a-5p + hsa-miR-429,-0.192,2.013,0.090,0.120,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-92a-3p,-0.167,2.014,0.034,-0.219,FALSE,FALSE,FALSE
hsa-miR-19a-3p + hsa-miR-34a-5p,-0.192,2.020,0.090,-0.194,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-873-5p,-0.168,2.023,0.050,0.076,FALSE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-20b-5p,-0.099,2.027,0.090,0.128,FALSE,FALSE,FALSE
hsa-miR-20b-5p + hsa-miR-452-5p,-0.099,2.030,0.081,-0.139,FALSE,FALSE,FALSE
hsa-miR-3714 + hsa-miR-873-5p,-0.285,2.037,0.257,0.186,FALSE,FALSE,FALSE
hsa-miR-20a-5p + hsa-miR-20b-5p,-0.100,2.048,0.081,-0.429,TRUE,FALSE,FALSE
hsa-miR-363-3p + hsa-miR-93-5p,-0.079,2.069,0.091,-0.377,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-25-3p,-0.153,2.071,0.003,-0.285,FALSE,FALSE,FALSE
hsa-miR-506-3p + hsa-miR-92a-3p,-0.579,2.076,0.099,-0.100,FALSE,FALSE,FALSE
hsa-miR-3714 + hsa-miR-449b-5p,-0.291,2.083,0.249,0.194,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-27b-3p,-0.156,2.089,0.010,-0.244,FALSE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-506-3p,-0.582,2.089,0.089,0.197,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-27a-3p,-0.055,2.095,0.007,-0.440,FALSE,FALSE,FALSE
hsa-miR-429 + hsa-miR-449b-5p,-0.115,2.100,0.030,0.201,FALSE,FALSE,FALSE
hsa-miR-137 + hsa-miR-193b-3p,-0.133,2.101,0.000,0.198,FALSE,FALSE,FALSE
hsa-miR-363-3p + hsa-miR-452-5p,-0.080,2.113,0.090,-0.117,FALSE,FALSE,FALSE
hsa-miR-452-5p + hsa-miR-92a-3p,-0.044,2.124,0.126,-0.239,FALSE,FALSE,FALSE
hsa-miR-452-5p + hsa-miR-93-5p,-0.064,2.127,0.021,-0.436,FALSE,FALSE,FALSE
hsa-miR-27b-3p + hsa-miR-3937,-0.408,2.146,0.010,0.137,FALSE,FALSE,FALSE
hsa-miR-211-5p + hsa-miR-873-5p,-0.053,2.148,0.007,-0.173,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-204-5p,-0.036,2.158,0.020,-0.483,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-19a-3p,-0.067,2.179,0.302,-0.458,FALSE,FALSE,FALSE
hsa-miR-107 + hsa-miR-449b-5p,-0.207,2.197,0.292,0.176,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-92a-3p,-0.045,2.201,0.080,-0.329,FALSE,FALSE,FALSE
hsa-miR-137 + hsa-miR-3937,-0.417,2.204,0.010,0.187,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-211-5p,-0.181,2.208,0.018,-0.263,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-363-3p,-0.083,2.213,0.078,-0.300,FALSE,FALSE,FALSE
hsa-miR-25-3p + hsa-miR-92a-3p,-0.163,2.219,0.002,-0.275,TRUE,FALSE,FALSE
hsa-miR-450b-3p + hsa-miR-92a-3p,-0.285,2.220,0.007,-0.174,FALSE,FALSE,FALSE
hsa-miR-34a-5p + hsa-miR-92a-3p,-0.211,2.241,0.083,-0.167,FALSE,FALSE,FALSE
hsa-miR-19b-3p + hsa-miR-34a-5p,-0.211,2.245,0.069,-0.176,FALSE,FALSE,FALSE
hsa-miR-200a-3p + hsa-miR-3937,-0.424,2.246,0.010,-0.038,FALSE,FALSE,FALSE
hsa-miR-196a-5p + hsa-miR-92a-3p,-0.124,2.257,0.104,-0.164,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-873-5p,-0.167,2.264,0.016,0.032,FALSE,FALSE,FALSE
hsa-miR-107 + hsa-miR-449a,-0.213,2.268,0.282,0.174,FALSE,FALSE,FALSE
hsa-miR-200a-3p + hsa-miR-452-5p,-0.106,2.297,0.031,-0.322,FALSE,FALSE,FALSE
hsa-miR-19b-3p + hsa-miR-20b-5p,-0.110,2.300,0.070,-0.398,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-449a,-0.183,2.305,0.046,0.175,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-873-5p,-0.095,2.314,0.244,0.150,FALSE,FALSE,FALSE
hsa-miR-107 + hsa-miR-128-3p,-0.217,2.324,0.278,-0.059,FALSE,FALSE,FALSE
hsa-miR-204-5p + hsa-miR-363-3p,-0.087,2.334,0.063,-0.349,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-135b-5p,-0.456,2.342,0.028,0.185,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-363-3p,-0.087,2.354,0.061,-0.449,FALSE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-363-3p,-0.088,2.357,0.071,0.177,FALSE,FALSE,FALSE
hsa-miR-18a-5p + hsa-miR-92a-3p,-0.212,2.376,0.021,-0.319,FALSE,FALSE,FALSE
hsa-miR-2110 + hsa-miR-506-3p,-0.648,2.381,0.068,0.199,FALSE,FALSE,FALSE
hsa-miR-196a-5p + hsa-miR-3714,-0.327,2.403,0.213,0.187,FALSE,FALSE,FALSE
hsa-miR-18a-5p + hsa-miR-873-5p,-0.214,2.406,0.053,0.161,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-27a-3p,-0.176,2.433,0.010,-0.188,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-17-5p,-0.177,2.442,0.006,-0.405,FALSE,FALSE,FALSE
hsa-miR-196a-5p + hsa-miR-93-5p,-0.132,2.447,0.092,-0.402,FALSE,FALSE,FALSE
hsa-miR-25-3p + hsa-miR-873-5p,-0.175,2.452,0.002,-0.139,FALSE,FALSE,FALSE
hsa-miR-449a + hsa-miR-449b-5p,-0.191,2.457,0.029,0.187,TRUE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-34a-5p,-0.226,2.466,0.061,-0.226,FALSE,FALSE,FALSE
hsa-miR-200c-3p + hsa-miR-3937,-0.454,2.467,0.013,0.094,FALSE,FALSE,FALSE
hsa-miR-211-5p + hsa-miR-34a-5p,-0.227,2.485,0.076,-0.120,FALSE,FALSE,FALSE
hsa-miR-20b-5p + hsa-miR-3714,-0.336,2.502,0.200,0.163,FALSE,FALSE,FALSE
hsa-miR-196a-5p + hsa-miR-452-5p,-0.134,2.506,0.084,-0.282,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-196a-5p,-0.135,2.515,0.095,-0.441,FALSE,FALSE,FALSE
hsa-miR-449b-5p + hsa-miR-506-3p,-0.674,2.522,0.075,0.192,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-19a-3p,-0.200,2.526,0.013,-0.371,FALSE,FALSE,FALSE
hsa-miR-20a-5p + hsa-miR-25-3p,-0.181,2.560,0.002,-0.191,FALSE,FALSE,FALSE
hsa-miR-363-3p + hsa-miR-92a-3p,-0.093,2.568,0.067,-0.363,TRUE,FALSE,FALSE
hsa-miR-200c-3p + hsa-miR-449a,-0.197,2.569,0.026,0.175,FALSE,FALSE,FALSE
hsa-miR-20a-5p + hsa-miR-34a-5p,-0.234,2.597,0.061,-0.245,FALSE,FALSE,FALSE
hsa-miR-200b-3p + hsa-miR-449a,-0.199,2.612,0.036,0.159,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-429,-0.493,2.619,0.033,0.125,FALSE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-196a-5p,-0.138,2.623,0.085,0.146,FALSE,FALSE,FALSE
hsa-miR-92a-3p + hsa-miR-93-5p,-0.075,2.637,0.016,-0.469,FALSE,FALSE,FALSE
hsa-miR-20b-5p + hsa-miR-25-3p,-0.184,2.638,0.023,-0.197,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-200c-3p,-0.499,2.679,0.035,0.071,FALSE,FALSE,FALSE
hsa-miR-3714 + hsa-miR-452-5p,-0.351,2.683,0.190,0.100,FALSE,FALSE,FALSE
hsa-miR-17-5p + hsa-miR-196a-5p,-0.140,2.685,0.078,-0.377,FALSE,FALSE,FALSE
hsa-miR-18a-5p + hsa-miR-193b-3p,-0.230,2.685,0.019,0.183,FALSE,FALSE,FALSE
hsa-miR-196a-5p + hsa-miR-20b-5p,-0.141,2.695,0.084,-0.427,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-196a-5p,-0.141,2.700,0.082,-0.428,FALSE,FALSE,FALSE
hsa-miR-200b-3p + hsa-miR-449b-5p,-0.175,2.700,0.002,0.190,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-20a-5p,-0.191,2.762,0.009,-0.402,FALSE,FALSE,FALSE
hsa-miR-20b-5p + hsa-miR-211-5p,-0.125,2.763,0.054,-0.366,FALSE,FALSE,FALSE
hsa-miR-196a-5p + hsa-miR-19b-3p,-0.143,2.769,0.079,-0.487,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-19a-3p,-0.060,2.792,0.011,-0.624,FALSE,FALSE,FALSE
hsa-miR-34b-5p + hsa-miR-429,-0.348,2.800,0.060,0.196,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-193b-3p,-0.214,2.826,0.010,0.199,FALSE,FALSE,FALSE
hsa-miR-211-5p + hsa-miR-452-5p,-0.065,2.830,0.003,-0.394,FALSE,FALSE,FALSE
hsa-miR-204-5p + hsa-miR-92a-3p,-0.053,2.831,0.040,-0.538,FALSE,FALSE,FALSE
hsa-miR-200b-3p + hsa-miR-3937,-0.494,2.832,0.006,0.065,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-452-5p,-0.215,2.837,0.010,-0.249,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-93-5p,-0.194,2.842,0.006,-0.474,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-196a-5p,-0.145,2.845,0.066,-0.402,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-25-3p,-0.192,2.851,0.003,-0.020,FALSE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-449a,-0.210,2.855,0.023,0.181,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-106a-5p,-0.195,2.889,0.022,-0.433,FALSE,FALSE,FALSE
hsa-miR-20b-5p + hsa-miR-363-3p,-0.128,2.895,0.050,-0.402,FALSE,FALSE,FALSE
hsa-miR-19b-3p + hsa-miR-873-5p,-0.056,2.925,0.013,-0.496,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-200b-3p,-0.525,2.928,0.022,0.077,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-204-5p,-0.197,2.939,0.007,-0.326,FALSE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-340-5p,-0.115,2.946,0.016,0.180,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-19b-3p,-0.082,2.964,0.229,-0.576,FALSE,FALSE,FALSE
hsa-miR-107 + hsa-miR-452-5p,-0.252,2.969,0.224,-0.181,FALSE,FALSE,FALSE
hsa-miR-20b-5p + hsa-miR-92a-3p,-0.130,2.981,0.041,-0.392,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-19b-3p,-0.220,2.984,0.010,-0.393,FALSE,FALSE,FALSE
hsa-miR-19a-3p + hsa-miR-20b-5p,-0.130,2.998,0.052,-0.482,FALSE,FALSE,FALSE
hsa-miR-25-3p + hsa-miR-3714,-0.374,3.016,0.174,0.161,FALSE,FALSE,FALSE
hsa-miR-340-5p + hsa-miR-3714,-0.375,3.022,0.174,0.197,FALSE,FALSE,FALSE
hsa-miR-107 + hsa-miR-211-5p,-0.255,3.029,0.225,-0.111,FALSE,FALSE,FALSE
hsa-miR-204-5p + hsa-miR-3937,-0.514,3.057,0.014,-0.264,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-19b-3p,-0.204,3.134,0.004,-0.319,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-92a-3p,-0.204,3.151,0.005,-0.351,FALSE,FALSE,FALSE
hsa-miR-196a-5p + hsa-miR-20a-5p,-0.153,3.185,0.073,-0.493,FALSE,FALSE,FALSE
hsa-miR-363-3p + hsa-miR-3714,-0.388,3.265,0.164,0.184,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-3714,-0.389,3.276,0.160,0.196,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-3937,-0.531,3.278,0.009,0.148,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-19a-3p,-0.208,3.294,0.010,-0.407,FALSE,FALSE,FALSE
hsa-miR-452-5p + hsa-miR-506-3p,-0.784,3.350,0.053,-0.244,FALSE,FALSE,FALSE
hsa-miR-211-5p + hsa-miR-25-3p,-0.209,3.396,0.001,-0.306,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-363-3p,-0.108,3.417,0.037,-0.291,FALSE,FALSE,FALSE
hsa-miR-429 + hsa-miR-506-3p,-0.792,3.435,0.058,0.141,FALSE,FALSE,FALSE
hsa-miR-18a-5p + hsa-miR-3714,-0.397,3.435,0.155,0.195,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-193b-3p,-0.565,3.435,0.021,0.201,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-3714,-0.397,3.437,0.158,0.194,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-92a-3p,-0.568,3.479,0.023,-0.210,FALSE,FALSE,FALSE
hsa-miR-450b-3p + hsa-miR-452-5p,-0.371,3.503,0.007,-0.215,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-34a-5p,-0.275,3.617,0.049,-0.313,FALSE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-3714,-0.407,3.657,0.151,0.193,FALSE,FALSE,FALSE
hsa-miR-25-3p + hsa-miR-452-5p,-0.216,3.675,0.001,-0.001,FALSE,FALSE,FALSE
hsa-miR-196a-5p + hsa-miR-204-5p,-0.164,3.725,0.067,-0.325,FALSE,FALSE,FALSE
hsa-miR-200b-3p + hsa-miR-34b-5p,-0.398,3.766,0.055,0.185,FALSE,FALSE,FALSE
hsa-miR-3937 + hsa-miR-93-5p,-0.562,3.792,0.008,-0.303,FALSE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-25-3p,-0.218,3.792,0.005,0.151,FALSE,FALSE,FALSE
hsa-miR-19b-3p + hsa-miR-363-3p,-0.112,3.820,0.044,-0.513,FALSE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-3937,-0.564,3.829,0.008,0.202,FALSE,FALSE,FALSE
hsa-miR-200c-3p + hsa-miR-3714,-0.416,3.876,0.149,0.185,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-211-5p,-0.222,3.890,0.003,-0.202,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-25-3p,-0.221,3.945,0.001,-0.167,FALSE,FALSE,FALSE
hsa-miR-19a-3p + hsa-miR-363-3p,-0.114,3.980,0.040,-0.477,FALSE,FALSE,FALSE
hsa-miR-18a-5p + hsa-miR-452-5p,-0.275,4.005,0.008,-0.327,FALSE,FALSE,FALSE
hsa-miR-2110 + hsa-miR-3937,-0.574,4.014,0.008,0.193,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-193b-3p,-0.225,4.061,0.005,0.199,FALSE,FALSE,FALSE
hsa-miR-20b-5p + hsa-miR-3937,-0.592,4.440,0.003,-0.281,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-506-3p,-0.867,4.469,0.031,0.199,FALSE,FALSE,FALSE
hsa-miR-200c-3p + hsa-miR-34b-5p,-0.422,4.550,0.049,0.191,FALSE,FALSE,FALSE
hsa-miR-3714 + hsa-miR-92a-3p,-0.437,4.562,0.135,0.121,FALSE,FALSE,FALSE
hsa-miR-196a-5p + hsa-miR-19a-3p,-0.176,4.697,0.057,-0.580,FALSE,FALSE,FALSE
hsa-miR-20a-5p + hsa-miR-3937,-0.602,4.714,0.008,-0.312,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-106b-5p,-0.237,4.836,0.006,-0.539,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-3937,-0.608,4.917,0.006,-0.321,FALSE,FALSE,FALSE
hsa-miR-19a-3p + hsa-miR-25-3p,-0.238,5.092,0.004,-0.421,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-452-5p,-0.643,5.175,0.011,-0.286,FALSE,FALSE,FALSE
hsa-miR-19a-3p + hsa-miR-3937,-0.617,5.210,0.006,-0.446,FALSE,FALSE,FALSE
hsa-miR-19b-3p + hsa-miR-25-3p,-0.244,5.633,0.004,-0.401,FALSE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-34a-5p,-0.315,5.801,0.042,0.189,FALSE,FALSE,FALSE
hsa-miR-200c-3p + hsa-miR-506-3p,-0.937,6.212,0.044,0.186,FALSE,FALSE,FALSE
hsa-miR-3714 + hsa-miR-429,-0.472,6.371,0.121,0.198,FALSE,FALSE,FALSE
hsa-miR-204-5p + hsa-miR-873-5p,-0.072,6.416,0.004,-0.489,FALSE,FALSE,FALSE
hsa-miR-19b-3p + hsa-miR-3937,-0.653,6.886,0.010,-0.376,FALSE,FALSE,FALSE
hsa-miR-34a-5p + hsa-miR-452-5p,-0.326,6.947,0.036,-0.379,FALSE,FALSE,FALSE
hsa-miR-3937 + hsa-miR-92a-3p,-0.654,6.948,0.007,-0.218,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-3937,-0.658,7.199,0.009,-0.452,FALSE,FALSE,FALSE
hsa-miR-211-5p + hsa-miR-3937,-0.660,7.322,0.006,-0.140,FALSE,FALSE,FALSE
hsa-miR-211-5p + hsa-miR-3714,-0.484,7.380,0.117,0.176,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-452-5p,-0.259,7.575,0.004,-0.415,FALSE,FALSE,FALSE
hsa-miR-200b-3p + hsa-miR-3714,-0.487,7.651,0.117,0.198,FALSE,FALSE,FALSE
hsa-miR-3937 + hsa-miR-452-5p,-0.674,8.533,0.005,-0.212,FALSE,FALSE,FALSE
hsa-miR-200b-3p + hsa-miR-506-3p,-0.987,8.592,0.039,0.186,FALSE,FALSE,FALSE